,Position,Department,Institute,location,link,due
11,Faculty Positions in Cloud and Distributed Systems and Operating Systems,Department of Computer Science,University of California Davis,"Davis, California",https://cra.org/job/university-of-california-davis-faculty-positions-in-cloud-and-distributed-systems-and-operating-systems/,07/01/2024
12,Faculty positions in Artificial Intelligence and Machine Learning,Department of Computer Science,University of California Davis,"Davis, California",https://cra.org/job/university-of-california-davis-faculty-positions-in-artificial-intelligence-and-machine-learning/,07/01/2024
13,Multiple Faculty and Administrative Positions Open,Golisano College of Computing and Information Sciences,Rochester Institute of Technology,"Rochester, New York",https://cra.org/job/rochester-institute-of-technology-multiple-faculty-and-administrative-positions-open/,
14,"Research Assistant Professor of Digital Forestry, 12-months non-tenure track",Institute of Digital Forestry,Purdue University,"West Lafayette, Indiana",https://cra.org/job/purdue-university-research-assistant-professor-of-digital-forestry-12-months-non-tenure-track/,
15,Computer Science Open Rank Tenure Track Faculty,Department of Computer Science and Engineering,Georgia State University Perimeter College,"Atlanta, Georgia",https://cra.org/job/georgia-state-university-perimeter-college-computer-science-open-rank-tenure-track-faculty-2/,
16,Tenure Track Faculty – Computer Science,Department of Computer Science,"California State University, Sacramento","Sacramento, California",https://cra.org/job/california-state-university-sacramento-tenure-track-faculty-computer-science-2/,
17,"Assistant Professor, Associate Professor, or Professor",Computer Science,"University of Maryland, College Park","College Park, Maryland",https://cra.org/job/university-of-maryland-assistant-professor-associate-professor-or-professor-2/,12/31/2023
18,Tenure Track Faculty – School of Computational Science and Engineering,School of Computational Science and Engineering,Georgia Institute of Technology,"Atlanta, Georgia",https://cra.org/job/georgia-institute-of-technology-tenure-track-faculty-school-of-computational-science-and-engineering/,12/01/2023
19,Assistant Professor Of Computer Science (2 Positions),Computer Engineering and Computer Science,California State University Long Beach,"Long Beach, California",https://cra.org/job/california-state-university-long-beach-assistant-professor-of-computer-science-2-positions/,08/19/2024
20,Department Head – Computer Science,CS - Computer Science,Virginia Tech,"Blacksburg, Virginia",https://cra.org/job/virginia-tech-department-head-computer-science/,
21,Multiple Tenured/Tenure-Track Faculty Positions,School of Electrical Engineering and Computer Science,Washington State University,"Pullman, Washington",https://cra.org/job/washington-state-university-multiple-tenured-tenure-track-faculty-positions-2/,12/31/2023
22,Scholarly Teaching Faculty Positions in Computer Science,School of Electrical Engineering and Computer Science,Washington State University,"Pullman, Washington",https://cra.org/job/washington-state-university-scholarly-teaching-faculty-positions-in-computer-science-2/,12/15/2023
23,"(Open Rank) Assistant, Associate, Full Professor of Computer Science",The Thomas Lord Department of Computer Science,University of Southern California,"Los Angeles, California",https://cra.org/job/university-of-southern-california-open-rank-assistant-associate-full-professor-of-computer-science-2/,01/05/2024
24,Dean,School of Information,"University of California, Berkeley","Berkeley, California",https://cra.org/job/university-of-california-berkeley-dean/,01/16/2024
25,"Asst/Assoc Professor, Asst/Assoc Scientist AI/ML",Department of Electrical Engineering and Computer Science,University of Kansas,"Lawrence, Kansas",https://cra.org/job/university-of-kansas-asst-assoc-professor-asst-assoc-scientist-ai-ml/,
26,Faculty positions in Theoretical Computer Science,Department of Computer Science,University of California Davis,"Davis, California",https://cra.org/job/university-of-california-davis-faculty-positions-in-theoretical-computer-science/,07/01/2024
27,Assistant or Associate Professor of Computer Science (Cybersecurity),Division of Mathematics and Computer Science,University of South Carolina Upstate,"Spartanburg, South Carolina",https://cra.org/job/university-of-south-carolina-upstate-assistant-or-associate-professor-of-computer-science-cybersecurity/,08/15/2024
28,Assistant Professor of Computer Science,Division of Mathematics and Computer Science,University of South Carolina Upstate,"Spartanburg, South Carolina",https://cra.org/job/university-of-south-carolina-upstate-assistant-professor-of-computer-science-5/,08/15/2024
29,Tenure Track Assistant/Associate Professor,Department of Computer Science,Texas A&M University Corpus Christi,"Corpus Christi, Texas",https://cra.org/job/texas-am-university-corpus-christi-tenure-track-assistant-associate-professor/,
30,Director of Research Community Initiatives,Computing Community Consortium (CCC),Computing Research Association (CRA),"Washington, DC",https://cra.org/job/computing-research-association-cra-director-of-research-community-initiatives/,
31,Lecturer in Discipline or Senior Lecturer in Discipline in Computer Science,SEAS Department of Computer Science,Columbia University,"New York, New York",https://cra.org/job/seas-department-of-computer-science-lecturer-in-discipline-or-senior-lecturer-in-discipline-in-computer-science/,11/27/2023
32,Assistant Professor or Associate Professor in Computer Science,SEAS Department of Computer Science,Columbia University,"New York, New York",https://cra.org/job/seas-department-of-computer-science-assistant-professor-or-associate-professor-in-computer-science/,12/01/2023
33,"Lecturer, Computer Science",Computer Science,Binghamton University,"Binghamton, New York",https://cra.org/job/binghamton-university-lecturer-computer-science-2/,
34,"Assistant Professor, Computer Science",Department of Computer Science,Bowling Green State University,,https://cra.org/job/bowling-green-state-university-assistant-professor-computer-science/,01/15/2024
35,Assistant Professor/Associate without Tenure (tenure-track) faculty search: Artificial Intelligence (AI) and Human Experience,The Program in Media Arts and Sciences,Massachusetts Institute of Technology,"Cambridge, MA",https://cra.org/job/massachusetts-institute-of-technology-assistant-professor-associate-without-tenure-tenure-track-faculty-search-artificial-intelligence-ai-and-human-experience-2/,12/31/2023
36,Lecturer in Discipline or Senior Lecturer in Discipline in Computer Science (with Data Science focus),SEAS Department of Computer Science,Columbia University,"New York, New York",https://cra.org/job/seas-department-of-computer-science-lecturer-in-discipline-or-senior-lecturer-in-discipline-in-computer-science-with-data-science-focus/,11/27/2023
37,Tenure-Track Assistant or Associate Professor,Department of Computer Science,Sonoma State University,"Rohnert Park, California",https://cra.org/job/sonoma-state-university-tenure-track-assistant-or-associate-professor/,
38,"Assistant, Associate Professor in CSE with a focus on Designing Just Future",Computer Science and Engineering,University of California - San Diego,"La Jolla, California",https://cra.org/job/university-of-california-san-diego-assistant-associate-professor-in-cse-with-a-focus-on-designing-just-future/,01/01/2024
39,Tenure-Track or Tenured Faculty in AI for Science and Society,School of Information,University of Michigan,"Ann Arbor, Michigan",https://cra.org/job/university-of-michigan-tenure-track-or-tenured-faculty-in-ai-for-science-and-society/,
40,"Chair, Department of Computer Science",Department of Computer Science,Saint Louis University,"Saint Louis, MO",https://cra.org/job/saint-louis-university-chair-department-of-computer-science/,
41,Assistant Professor,School of Computing,University of North Florida,"Jacksonville, Florida",https://cra.org/job/university-of-north-florida-assistant-professor-2/,11/27/2023
42,Tenure-Track Positions in Computer Science,Computer Science,Rutgers University,"Piscataway, New Jersey",https://cra.org/job/rutgers-university-tenure-track-positions-in-computer-science-2/,01/01/2024
43,Associate Professor in Computer Science,Computer Science,Colorado State University,"Fort Collins, Colorado",https://cra.org/job/colorado-state-university-associate-professor-in-computer-science/,
44,Non-Tenure Track Faculty Position,Computer Science,Rutgers University,Rutgers University at New Brunswick,https://cra.org/job/rutgers-university-non-tenure-track-faculty-position-2/,01/01/2024
45,Assistant Professor (Tenure-Track) Position in Microelectronics,Department of Electrical Engineering and Computer Science,"University of California, Irvine","Irvine, California",https://cra.org/job/uci-assistant-professor-tenure-track-position-in-microelectronics/,01/15/2024
46,Assistant (tenure-track) or Associate Professor (tenured) Position in Biophotonics/Imaging,Electrical Engineering and Computer Science (EECS) Department,"University of California, Irvine","Irvine, California",https://cra.org/job/uci-assistant-tenure-track-or-associate-professor-tenured-position-in-biophotonics-imaging/,01/15/2024
47,Assistant Teaching Professor Positions- CS/CE/EE – #077414,Department of Electrical Engineering and Computer Science,Syracuse University,"Syracuse, New York",https://cra.org/job/syracuse-university-assistant-teaching-professor-positions-cs-ce-ee-077414/,
48,"Tenure-Track, Tenured, and Teaching Faculty Positions in Computer Science",Computer Science,University of North Carolina-Chapel Hill,"Chapel Hill, North Carolina",https://cra.org/job/unc-chapel-hill-tenure-track-tenured-and-teaching-faculty-positions-in-computer-science/,12/01/2023
49,Non-Tenure Track Faculty position in Computer Science,Jarvis College of Computing and Digital Media,DePaul University,"Chicago, Illinois",https://cra.org/job/depaul-university-jarvis-college-of-computing-and-digital-media-non-tenure-track-faculty-position-in-computer-science/,11/05/2023
50,Multiple Tenure-line Faculty Positions in Computing,Jarvis College of Computing and Digital Media,DePaul University,"Chicago, Illinois",https://cra.org/job/depaul-university-jarvis-college-of-computing-and-digital-media-multiple-tenure-line-faculty-positions-in-computing/,11/05/2023
51,"Assistant Professor, Electrical Engineering and Computer Science Department (Tenure Track) – #077413",Department of Electrical Engineering and Computer Science,Syracuse University,"Syracuse, New York",https://cra.org/job/syracuse-university-assistant-professor-electrical-engineering-and-computer-science-department-tenure-track-077413/,11/30/2023
52,Assistant Professor and Assistant Teaching Professor,Computer Science Department,Worcester Polytechnic Institute,"Worcester, MA",https://cra.org/job/worcester-polytechnic-institute-assistant-professor-and-assistant-teaching-professor/,12/15/2023
53,Faculty Positions in Computer and Data Sciences,Computer and Data Sciences,Case Western Reserve University,"Cleveland, Ohio",https://cra.org/job/case-western-reserve-university-faculty-positions-in-computer-and-data-sciences/,
54,Assistant/Associate Professor,Informatics,New Jersey Institute of Technology,"Newark, New Jersey",https://cra.org/job/new-jersey-institute-of-technology-assistant-associate-professor/,12/15/2023
55,Department Chair/Amazon Endowed Chair – Computer Science,Department of Computer Science,Seattle University,"Seattle, Washington",https://cra.org/job/seattle-university-department-chair-amazon-endowed-chair-computer-science/,07/01/2024
56,Assistant/Associate/Full Professor of Computer Science,"Luddy School of Informatics, Computing and Engineering at IU Indianapolis",Indiana University,"Indianapolis, Indiana",https://cra.org/job/luddy-school-of-informatics-computing-and-engineering-at-iu-indianapolis-assistant-associate-full-professor-of-computer-science/,01/02/2024
57,Assistant Teaching Professor/Associate Teaching Professor/Full Teaching Professor-Khoury College of Computer Sciences,Khoury College of Computer Sciences,Northeastern University,Anywhere,https://cra.org/job/northeastern-university-assistant-teaching-professor-associate-teaching-professor-full-teaching-professor-khory-college-of-computer-science/,
58,Open Rank Tenure Track Faculty Positions,Department of Computer Science,University of Virginia,"Charlottesville, Virginia",https://cra.org/job/university-of-virginia-open-rank-tenure-track-faculty-positions/,10/20/2023
59,Assistant Professor or Associate Professor – Cybersecurity,Department of Computer Science,University of North Carolina Wilmington,"Wilmington, North Carolina",https://cra.org/job/university-of-north-carolina-wilmington-assistant-professor-or-associate-professor-cybersecurity/,08/01/2024
60,Assistant/Associate Professor of Practice,Computer Science,Texas Tech University,"Lubbock, Texas",https://cra.org/job/texas-tech-university-assistant-associate-professor-of-practice/,
61,Assistant Professor of Computer Science,Computer Science,New Mexico State University,"Las Cruces, New Mexico",https://cra.org/job/new-mexico-state-university-assistant-professor-of-computer-science-2/,11/25/2023
62,Associate Professor – Computer Science,Computer Science,The University of Texas at Dallas,"Richardson, Texas",https://cra.org/job/the-university-of-texas-at-dallas-associate-professor-computer-science-3/,12/01/2023
63,Tenure-Track Faculty Positions in Computer Science,Computer Science,Stevens Institute of Technology,"Hoboken, New Jersey",https://cra.org/job/stevens-institute-of-technology-tenure-track-faculty-positions-in-computer-science-6/,12/01/2022
64,Non-Tenure Track Faculty Positions in Computer Science,Computer Science,Stevens Institute of Technology,"Hoboken, New Jersey",https://cra.org/job/stevens-institute-of-technology-non-tenure-track-faculty-positions-in-computer-science/,
65,Open Rank Tenure Track Faculty – Computer Science,Computer Science,University of Illinois Chicago,"Chicago, Illinois",https://cra.org/job/university-of-illinois-chicago-open-rank-tenure-track-faculty-computer-science/,12/15/2023
66,Assistant Professor – Cybersecurity,College of Engineering & Applied Science,University of Colorado Colorado Springs,"Colorado Springs, Colorado",https://cra.org/job/university-of-colorado-colorado-springs-assistant-professor-cybersecurity/,11/30/2023
67,Assistant Professor – Computer Science,Computer Science,The University of Texas at Dallas,"Richardson, Texas",https://cra.org/job/the-university-of-texas-at-dallas-assistant-professor-computer-science-4/,12/01/2023
68,AI/ML/NLP Tenure-Track or Tenured Faculty Position in Computer Science,Department of Computer Science,Duke University,"Durham, North Carolina",https://cra.org/job/duke-university-ai-ml-nlp-tenure-track-or-tenured-faculty-position-in-computer-science/,12/15/2023
69,Assistant Professor – Computer Science and Software Engineering,Computer Science and Software Engineering,California Polytechnic State University,"San Luis Obispo, California",https://cra.org/job/california-polytechnic-state-university-assistant-professor-computer-science-and-software-engineering/,
70,Instructional Faculty (Open Rank) – Computer Science,Computer Science,University of Illinois Urbana-Champaign,"Urbana, Illinois",https://cra.org/job/university-of-illinois-instructional-faculty-open-rank-computer-science/,11/15/2023
71,Professor (Open Rank) – Computer Science,Computer Science,University of Illinois Urbana-Champaign,"Urbana, Illinois",https://cra.org/job/university-of-illinois-professor-open-rank-computer-science/,
72,Research Stream Faculty Position in Distributed Systems,Department of Computer Science,University of Victoria,"Victoria, B.C.",https://cra.org/job/university-of-victoria-research-stream-faculty-position-in-distributed-systems/,11/26/2023
73,Faculty Position – Computational Biology and Bioinformatics,CS - Computer Science,Virginia Tech,"Blacksburg, VA",https://cra.org/job/virginia-tech-faculty-position-computational-biology-and-bioinformatics/,11/20/2023
74,Rolls-Royce Commonwealth Professor,CS - Computer Science,Virginia Tech,"Blacksburg, Virginia",https://cra.org/job/virginia-tech-rolls-royce-commonwealth-professor-3/,11/20/2023
75,Senior Faculty Position – Human Computer Interaction (HCI),CS - Computer Science,Virginia Tech,"Blacksburg, Virginia",https://cra.org/job/virginia-tech-senior-faculty-position-human-computer-interaction-hci/,11/20/2023
76,Assistant Professor in Computer Science,Department of Computer Science,University of California Santa Barbara,"Santa Barbara, California",https://cra.org/job/university-of-california-santa-barbara-assistant-professor-in-computer-science-2/,07/01/2024
77,Assistant Professor (f/m/d) of Human Language Technologies,Institute of Applied Medical Informatics,University of Tuebingen,"Tuebingen, Germany",https://cra.org/job/university-of-tuebingen-assistant-professor-f-m-d-of-human-language-technologies/,12/14/2023
78,Open-Rank Teaching Faculty Appointment(s) in Computer Science,Computer Science,Brandeis University,"Waltham, MA",https://cra.org/job/brandeis-university-open-rank-teaching-faculty-appointments-in-computer-science/,
79,Chair of the Department of Computer Science,Computer Science,Brandeis University,"Waltham, MA",https://cra.org/job/brandeis-university-chair-of-the-department-of-computer-science-2/,
80,"Assistant, Associate, or Full Professor – CSE",Computer Science and Engineering,University of California - San Diego,"La Jolla, California",https://cra.org/job/university-of-california-san-diego-assistant-associate-or-full-professor-cse/,01/01/2024
81,Assistant/Associate/Full Professor,Computer Science,Texas Tech University,"Lubbock, Texas",https://cra.org/job/texas-tech-university-assistant-associate-full-professor-7/,
82,Assistant or Associate Professor in Artificial Intelligence,School of Information,University of Arizona,"Tucson, Arizona",https://cra.org/job/university-of-arizona-assistant-or-associate-professor-in-artificial-intelligence/,
83,Tenure-Track Assistant Professor / Non-Tenure Track Assistant Teaching Professor in Computer Science,Department of Computer Science,Wake Forest University,"Winston-Salem, North Carolina",https://cra.org/job/wake-forest-university-tenure-track-assistant-professor-non-tenure-track-assistant-teaching-professor-in-computer-science/,
84,Tenure-track Faculty Positions,David R. Cheriton School of Computer Science,University of Waterloo,"Waterloo, Ontario",https://cra.org/job/university-of-waterloo-tenure-track-faculty-positions-2/,11/30/2023
85,Multiple tenure-track positions in Computer Science & Engineering,Computer Science & Engineering,University of Minnesota,"Minneapolis, Minnesota",https://cra.org/job/university-of-minnesota-multiple-tenure-track-positions-in-computer-science-engineering-2/,12/01/2023
86,Tenured/Tenure-Track Positions in Computer Science,Computer Science,NYU Shanghai,"Shanghai, China",https://cra.org/job/nyu-shanghai-tenured-tenure-track-positions-in-computer-science-2/,
87,Assistant Teaching Professor in Computer Science,Computer Science Department,University of California Santa Barbara,"Santa Barbara, California",https://cra.org/job/university-of-california-santa-barbara-assistant-teaching-professor-in-computer-science/,12/04/2023
88,"Assistant Professor, Tenure-Track, Computer Science",Computer Science,Fitchburg State University,"Fitchburg, MA",https://cra.org/job/fitchburg-state-university-assistant-professor-tenure-track-computer-science/,
89,"Tenure-Track Assistant Professor, Computer Systems",Computer Science,Brown University,"Providence, Rhode Island",https://cra.org/job/brown-university-tenure-track-assistant-professor-computer-systems/,12/01/2023
90,Assistant Professors of Computer Science,Computer Science,University of Vermont,"Burlington, Vermont",https://cra.org/job/university-of-vermont-assistant-professors-of-computer-science/,12/01/2023
91,"Assistant Professor, Information Communication Technology",School of Information Science,University of Kentucky,"Lexington, Kentucky",https://cra.org/job/university-of-kentucky-assistant-professor-information-communication-technology/,
92,Assistant Professor,Math and Computer Science Department,Augustana College,"Rock Island, Illinois",https://cra.org/job/augustana-college-assistant-professor/,
93,"Full-time Tenure-Track Faculty, Assistant, Associate, or Full Professor",Computer Science,Southern Illinois University Edwardsville,"Edwardsville, Illinois",https://cra.org/job/southern-illinois-university-edwardsville-full-time-tenure-track-faculty-assistant-associate-or-full-professor/,
94,"Tenure-Track Assistant Professor, Visual Computing & CS Education",Computer Science,Brown University,"Providence, Rhode Island",https://cra.org/job/brown-university-tenure-track-assistant-professor-visual-computing-cs-education/,12/01/2023
95,"Tenure-Track Assistant Professor, Architecture & Databases",Computer Science,Brown University,"Providence, Rhode Island",https://cra.org/job/brown-university-tenure-track-assistant-professor-architecture-databases/,12/01/2023
96,"Tenure-Track Assistant Professor, Interdisciplinary Science and Technology",Computer Science,Brown University,"Providence, Rhode Island",https://cra.org/job/brown-university-tenure-track-assistant-professor-interdisciplinary-science-and-technology/,12/01/2023
97,Open Rank Tenure-Track Position in Computer Science,Department of Computer Science and Electrical Engineering,"University of Maryland, Baltimore County","Baltimore, Maryland",https://cra.org/job/university-of-maryland-baltimore-county-open-rank-tenure-track-position-in-computer-science/,12/01/2023
98,Open Rank; Assistant and Associate/Full Professor,Computer Science and Engineering,The University of Texas at Arlington,"Arlington, Texas",https://cra.org/job/the-university-of-texas-at-arlington-open-rank-assistant-and-associate-full-professor/,
99,Assistant Professor – Chancellor’s Joint Initiative: Data Science and Public Policy (HDSI/GPS),Data Science and Public Policy,University of California San Diego,"La Jolla, California",https://cra.org/job/university-of-california-san-diego-assistant-professor-chancellors-joint-initiative-data-science-and-public-policy-hdsi-gps/,
100,"Tenured Professor of Computer Science, Ginni Rometty Chair",Computer Science,Northwestern University,"Evanston, Illinois",https://cra.org/job/northwestern-university-tenured-professor-of-computer-science-ginni-rometty-chair/,12/10/2023
101,Computer Science Assistant Professor Of Instruction/Lecturer positions,Computer Science,Northwestern University,"Evanston, Illinois",https://cra.org/job/northwestern-university-computer-science-assistant-professor-of-instruction-lecturer-positions/,10/25/2023
102,The Mark D. Wheeler Endowed Chair in Artificial Intelligence Position in Computer Science,Department of Computer Science,Tulane University,"New Orleans, LA",https://cra.org/job/tulane-university-the-mark-d-wheeler-endowed-chair-in-artificial-intelligence-position-in-computer-science/,01/01/2024
103,Assistant/Associate Professor-Computer and Information Science,Department of Computer and Information Science,University of Massachusetts Dartmouth,"Dartmouth, MA",https://cra.org/job/university-of-massachusetts-dartmouth-assistant-associate-professor-computer-and-information-science/,12/01/2023
104,Open Rank Professorship – Computational Data Science,Mathematics,Hamline University,"Saint Paul, Minnesota",https://cra.org/job/hamline-university-open-rank-professorship-computational-data-science/,
105,Tenure Track Assistant/Associate Professor,Department of Computer Information Systems,Bentley University,"Waltham, Massachusetts",https://cra.org/job/bentley-university-tenure-track-assistant-associate-professor-2/,
106,Teaching Stream Faculty Position,Department of Computer Science,University of Victoria,"Victoria, B.C.",https://cra.org/job/university-of-victoria-teaching-stream-faculty-position/,11/26/2023
107,Adjunct Assistant Professor-Data Visualization-CAPP,Physical Sciences Division: Department of Computer Science,University of Chicago,"Chicago, Illinois",https://cra.org/job/university-of-chicago-adjunct-assistant-professor-data-visualization-capp/,
108,Assistant Professor of Computer Science,Computer Science,Northwestern University,"Evanston, Illinois",https://cra.org/job/northwestern-university-assistant-professor-of-computer-science/,12/10/2023
109,Director of University of Pittsburgh Center for African Studies,School of Computing and Information,University of Pittsburgh,"Pittsburgh, PA",https://cra.org/job/university-of-pittsburgh-director-of-university-of-pittsburgh-center-for-african-studies/,
110,"Dean, Tandon School of Engineering",Tandon School of Engineering,New York University,"Brooklyn, New York",https://cra.org/job/new-york-university-dean-tandon-school-of-engineering/,
111,"Three Open-Rank, Tenure-Track Positions in Computer Science",Computer Science,New College of Florida,"Sarasota, Florida",https://cra.org/job/new-college-of-florida-three-open-rank-tenure-track-positions-in-computer-science/,
112,CIS Lecturer Positions 2024,Department of Computer & Information Science,University of Pennsylvania,"Philadelphia, PA",https://cra.org/job/university-of-pennsylvania-cis-lecturer-positions-2024/,
113,CIS Tenured or Tenure-track Positions 2024,The School of Engineering and Applied Science,University of Pennsylvania,"Philadelphia, PA",https://cra.org/job/university-of-pennsylvania-cis-tenured-or-tenure-track-positions-2024-2/,07/01/2024
114,CIS Practice Assistant Professor 2024,Department of Computer & Information Science,University of Pennsylvania,"Philadelphia, PA",https://cra.org/job/university-of-pennsylvania-cis-practice-assistant-professor-2024-2/,
115,Assistant/Associate Professor,Department of Computer Science,University of Houston,"Houston, Texas",https://cra.org/job/university-of-houston-assistant-associate-professor/,09/01/2024
116,Assistant Professor – Data Science and Bioengineering,Data Science and Bioengineering,University of California San Diego,"La Jolla, California",https://cra.org/job/university-of-california-san-diego-assistant-professor-data-science-and-bioengineering/,
117,All Areas of Computing–Assistant/Associate/Professor Positions,Kahlert School of Computing,University of Utah,"Salt Lake City, Utah",https://cra.org/job/university-of-utah-all-areas-of-computing-assistant-associate-professor-positions-3/,
118,"Computer Science & Engineering and Electrical & Computer Engineering: Assistant or Associate Professor, Chip Design and Electronic Design Automation (initial review Dec. 8, 2023)",Engineering,University of California Santa Cruz,"Santa Cruz, California",https://cra.org/job/university-of-california-santa-cruz-computer-science-engineering-and-electrical-computer-engineering-assistant-or-associate-professor-chip-design-and-electronic-design-automation-initial-review/,07/01/2024
119,Assistant Professor in Computer Science and Engineering (Multiple Hire Recruitment),Department of Computer Science and Engineering,University of California Merced,"Merced, California",https://cra.org/job/university-of-california-merced-assistant-professor-in-computer-science-and-engineering-multiple-hire-recruitment/,12/15/2023
120,Senior Faculty Position in Computational Oncology PRN01093CF,,SCI Institute,"Salt Lake City, Utah",https://cra.org/job/sci-institute-senior-faculty-position-in-computational-oncology-prn01093cf/,
121,Assistant Professor of Computer Science,Department of Mathematics and Computer Science,St. Mary's College of Maryland,"St. Mary's City, Maryland",https://cra.org/job/st-marys-college-of-maryland-assistant-professor-of-computer-science/,
122,Tenure Track Assistant Professor – Health Informatics,School of Information and Library Science,University of North Carolina at Chapel Hill,"Chapel Hill, NC",https://cra.org/job/university-of-north-carolina-at-chapel-hill-tenure-track-assistant-professor-health-informatics/,
123,Associate/Full Professor – Health Informatics,School of Information and Library Science,University of North Carolina at Chapel Hill,"Chapel Hill, NC",https://cra.org/job/university-of-north-carolina-at-chapel-hill-associate-full-professor-health-informatics/,
124,Endowed Associate Professor/Professor – Tenured,Computer Science,University of Alabama at Birmingham,"Birmingham, AL",https://cra.org/job/university-of-alabama-at-birmingham-endowed-associate-professor-professor-tenured/,
125,Four Tenure-track Assistant Professor positions,Computer SCience,University of Alabama at Birmingham,"Birmingham, Alabama",https://cra.org/job/university-of-alabama-at-birmingham-four-tenure-track-assistant-professor-positions/,
126,Assistant/Associate/Professor,Robotics,University of Michigan,"Ann Arbor, Michigan",https://cra.org/job/university-of-michigan-assistant-associate-professor-3/,11/06/2023
127,Non-tenure-track Assistant Professor in Teaching,Computer Science,University of Alabama at Birmingham,"Birmingham, Alabama",https://cra.org/job/university-of-alabama-at-birmingham-non-tenure-track-assistant-professor-in-teaching/,
128,Assistant or untenured Associate Professor,Computer Science,Stanford University,"Stanford, California",https://cra.org/job/stanford-university-assistant-or-untenured-associate-professor-3/,12/04/2023
129,Lecturer in Computer Science Department,Computer Science,Rowan University,"Glassboro, New Jersey",https://cra.org/job/rowan-university-lecturer-in-computer-science-department/,10/30/2023
130,Tenure-Track Assistant Professor Position(s),Computer Science,Rowan University,"Glassboro, New Jersey",https://cra.org/job/rowan-university-tenure-track-assistant-professor-positions/,10/16/2023
131,Assistant/Associate Professor of Electrical & Computer Engineering,College of Engineering and Computer Science,University of Texas Rio Grande Valley,"Edinburg, Texas",https://cra.org/job/university-of-texas-rio-grande-valley-assistant-associate-professor-of-electrical-computer-engineering-2/,11/01/2023
132,Assistant Professor-Electrical Engineering and Computer Science,Electrical Engineering and Computer Science,University of Wyoming,"Laramie, Wyoming",https://cra.org/job/university-of-wyoming-assistant-professor-electrical-engineering-and-computer-science/,11/10/2023
133,Tenure-track Faculty Positions at The IMDEA Software Institute,,IMDEA Software Institute,"Madrid, Spain",https://cra.org/job/imdea-software-institute-tenure-track-faculty-positions-at-the-imdea-software-institute-6/,12/15/2023
134,Open Rank Faculty Position in Electrical and Computer Engineering,Electrical and Computer Engineering,"University of California, Riverside","Riverside, California",https://cra.org/job/university-of-california-riverside-open-rank-faculty-position-in-electrical-and-computer-engineering/,12/15/2023
135,"Belfer Professor of Science, Technology, and International Affairs",,Harvard Kennedy School,"Cambridge, MA",https://cra.org/job/harvard-kennedy-school-belfer-professor-of-science-technology-and-international-affairs/,
136,"Tenure/Tenure-Track Professor- NJIT, Data Science Department",Data Science,New Jersey Institute of Technology,"Newark, New Jersey",https://cra.org/job/new-jersey-institute-of-technology-tenure-tenure-track-professor-njit-data-science-department/,12/15/2023
137,Instructor or Lecturer and Program Coordinator in Computer Science,Computer Science,Bryn Mawr College,"Bryn Mawr, PA",https://cra.org/job/bryn-mawr-college-instructor-or-lecturer-and-program-coordinator-in-computer-science/,01/16/2024
